Original Version,New Version,A,B,C,D,E
1,11,B,C,D,E,A
2,10,C,D,E,A,B
3,8,D,E,A,B,C
4,7,E,A,B,C,D
5,28,B,C,D,E,A
6,27,D,E,A,B,C
7,9,E,A,B,C,D
8,26,B,C,D,E,A
9,25,C,D,E,A,B
10,24,D,E,A,B,C
11,23,E,A,B,C,D
12,22,C,D,E,A,B
13,37,D,E,A,B,C
14,36,E,A,B,C,D
15,35,E,A,B,C,D
16,34,B,C,D,E,A
17,33,C,D,E,A,B
18,32,D,E,A,B,C
19,16,E,A,B,C,D
20,15,B,C,D,E,A
21,14,C,D,E,A,B
22,13,D,E,A,B,C
23,12,C,D,E,A,B
24,6,D,E,A,B,C
25,5,B,C,D,E,A
26,4,C,D,E,A,B
27,3,B,C,D,E,A
28,2,C,D,E,A,B
29,1,E,A,B,C,D
30,31,D,E,A,B,C
31,30,E,A,B,C,D
32,29,B,C,D,E,A
33,21,C,D,E,A,B
34,20,D,E,A,B,C
35,19,E,A,B,C,D
36,18,B,C,D,E,A
37,17,C,D,E,A,B
38,40,D,E,A,B,C
39,39,E,A,B,C,D
40,38,B,C,D,E,A
